City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
339,Dhidhdhoo,MV,80.55,overcast clouds,6.8833,73.1,Dhidhoo beach
342,Managua,NI,76.66,broken clouds,12.1328,-86.2504,Hotel Central Park-Managua
345,Pundaguitan,PH,81.91,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
358,Acapulco,MX,77.74,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
363,Bontang,ID,82.96,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
370,Nicoya,CR,78.35,scattered clouds,10.1483,-85.452,Las Cabinas Del Sueño
372,Conkal,MX,75.25,few clouds,21.0667,-89.5333,Casa Mango
375,Tezu,IN,75.87,clear sky,27.9167,96.1667,Circuit House
376,The Valley,AI,78.66,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
382,Soyo,AO,76.32,overcast clouds,-6.1349,12.3689,Hotel Mpampa
383,Luanda,AO,75.2,broken clouds,-8.8368,13.2343,Hotel Fórum
390,Bowen,AU,84.07,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
407,Esperance,AU,81.48,clear sky,-33.8667,121.9,Hospitality Esperance
414,Monrovia,LR,76.77,light rain,6.3005,-10.7969,Sunset Inn
416,Port Pirie,AU,78.89,clear sky,-33.1833,138.0167,John Pirie Motor Inn
419,Pemangkat,ID,79.09,light rain,1.1667,108.9667,Ramah Kost KITA
424,Bourail,NC,82.94,overcast clouds,-21.5667,165.4833,Motel Allamanda
431,Gizo,SB,85.51,broken clouds,-8.103,156.8419,Imagination Island
432,Sinnamary,GF,77.61,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
437,Itaueira,BR,75.4,broken clouds,-7.6033,-43.0256,Pousada e Restaurante Cheiro e Sabor
439,Boa Vista,BR,78.78,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
442,Qui Nhon,VN,76.96,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
448,San Policarpo,PH,83.16,overcast clouds,12.1791,125.5072,Agapita M. Nicart
470,Mattru,SL,75.43,broken clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
484,Yarada,IN,79.21,broken clouds,17.65,83.2667,Vishranti
485,Mackay,AU,82.15,clear sky,-21.15,149.2,International Lodge Motel
487,Marang,MY,80.04,moderate rain,5.2056,103.2059,DBarakah Homestay
490,Byron Bay,AU,75.15,overcast clouds,-28.65,153.6167,Backpackers Inn
496,Kualakapuas,ID,78.96,moderate rain,-3.0091,114.3876,Guest House Izonk
497,Kailua,US,78.78,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
502,Vao,NC,75.49,light rain,-22.6667,167.4833,Hotel Kou-Bugny
503,Karaton,ID,84.36,moderate rain,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
513,Kribi,CM,78.13,light rain,2.95,9.9167,La Grace Hôtel
518,Umm Lajj,SA,78.08,clear sky,25.0213,37.2685,Moon light Furnished Units
521,Mareeba,AU,81.32,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
522,Cockburn Town,TC,77.34,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
535,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
537,Isangel,VU,83.16,light rain,-19.55,169.2667,Tanna Lodge
539,Wattegama,LK,84.33,moderate rain,6.7989,81.4808,
545,Takoradi,GH,78.64,broken clouds,4.8845,-1.7554,Raybow International Hotel
548,Trincomalee,LK,82.4,broken clouds,8.5711,81.2335,Welcombe Hotel
549,Japura,ID,85.32,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
557,Hervey Bay,AU,78.91,broken clouds,-25.2986,152.8535,Shelly Bay Resort
558,Macau,MO,76.71,clear sky,22.2006,113.5461,Grand Emperor Hotel
562,Bandrele,YT,80.35,moderate rain,-12.9067,45.1914,Les Baobabs
565,Cabedelo,BR,79.47,broken clouds,-6.9811,-34.8339,Hotel Pigalle
567,Mlonggo,ID,82.29,heavy intensity rain,-6.5333,110.7,Asia Metal Art
581,Kapit,MY,82.49,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
586,Meulaboh,ID,80.71,light rain,4.1363,96.1285,Kost Pria
590,Quatre Cocos,MU,80.71,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
596,Buala,SB,85.24,light rain,-8.145,159.5921,Maringe Lagoon Lodge
598,Kuala Kedah,MY,84.18,light rain,6.1,100.3,Artini Homestay
602,Maicao,CO,75.24,broken clouds,11.3832,-72.2432,Hotel Sancho
604,Tuy Hoa,VN,77.23,light rain,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
605,Manaure,CO,79.07,broken clouds,11.7751,-72.4445,Hotel Palaaima
611,Acarau,BR,79.45,broken clouds,-2.8856,-40.12,castelo pizzaria
614,Namatanai,PG,84.54,light rain,-3.6667,152.4333,Seagulls Inn Namatani
616,Utete,TZ,75.63,light rain,-7.986,38.758,River View Lodge
626,San Miguel,SV,75.94,overcast clouds,13.4833,-88.1833,Hotel Tropico Inn San Miguel
635,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,Mercure Padang
643,Makaha,US,78.71,scattered clouds,21.4694,-158.2175,Hawaiian Princess Resort
651,Colombo,LK,80.44,broken clouds,6.9319,79.8478,Galle Face Hotel
653,Sibolga,ID,80.19,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
654,Weligama,LK,81.21,overcast clouds,5.9667,80.4167,Weligama Bay Resort
659,Uddiawan,PH,79.52,overcast clouds,16.5589,121.1512,Le Jardin
