City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
31,Puerto Ayora,EC,2021-11-23 23:02:16,-0.7393,-90.3518,69.62,78,23,9.66
32,Bredasdorp,ZA,2021-11-23 23:03:27,-34.5322,20.0403,57.27,82,82,2.66
33,Tasiilaq,GL,2021-11-23 23:02:21,65.6145,-37.6368,21.36,58,47,5.95
34,Hilo,US,2021-11-23 23:02:48,19.7297,-155.09,78.24,83,58,7.0
35,Kirgiz-Miyaki,RU,2021-11-23 23:07:24,53.6324,54.7979,-2.06,100,100,5.17
36,Faanui,PF,2021-11-23 23:02:58,-16.4833,-151.75,80.89,71,41,4.18
37,Yellowknife,CA,2021-11-23 23:03:32,62.456,-114.3525,-12.59,90,99,3.0
38,Kentau,KZ,2021-11-23 23:07:24,43.5206,68.5094,42.51,34,76,4.76
39,Clinton,US,2021-11-23 23:07:25,42.587,-82.9199,36.09,60,20,3.44
40,Kieta,PG,2021-11-23 23:03:44,-6.2167,155.6333,83.1,74,90,2.84
41,Arraial Do Cabo,BR,2021-11-23 23:07:06,-22.9661,-42.0278,72.39,88,5,10.71
42,Ushuaia,AR,2021-11-23 22:57:35,-54.8,-68.3,44.26,81,75,9.22
43,Susanville,US,2021-11-23 23:07:25,40.4163,-120.653,51.64,35,1,11.5
44,Georgetown,MY,2021-11-23 23:01:19,5.4112,100.3354,77.9,90,20,0.0
45,Yarmouth,US,2021-11-23 23:05:02,41.7057,-70.2286,37.99,50,20,12.66
46,Norman Wells,CA,2021-11-23 23:05:46,65.282,-126.8329,-12.51,98,100,3.42
47,Lethem,GY,2021-11-23 23:08:26,3.3803,-59.7968,81.81,67,98,5.57
48,Inirida,CO,2021-11-23 23:08:26,3.8653,-67.9239,75.7,96,100,2.66
49,Norway,US,2021-11-23 23:08:26,45.7869,-87.9037,36.68,50,1,8.01
50,Tahoua,NE,2021-11-23 23:08:27,14.8888,5.2692,80.13,17,1,8.34
51,Haines Junction,CA,2021-11-23 23:06:48,60.7522,-137.5108,2.97,96,100,1.25
52,Tanout,NE,2021-11-23 23:08:27,14.9709,8.8879,79.86,17,0,10.16
53,Sambava,MG,2021-11-23 23:04:41,-14.2667,50.1667,76.19,72,95,1.66
54,Khatanga,RU,2021-11-23 23:02:18,71.9667,102.5,0.86,79,98,19.15
55,Cururupu,BR,2021-11-23 23:06:50,-1.8283,-44.8683,77.5,87,99,3.65
56,Port Arthur,CN,2021-11-23 23:05:12,38.8,121.2667,41.22,45,0,14.88
57,Deputatskiy,RU,2021-11-23 23:03:51,69.3,139.9,-24.57,96,100,3.04
58,Rabo De Peixe,PT,2021-11-23 23:08:27,37.8,-25.5833,66.27,99,40,13.8
59,Chunskiy,RU,2021-11-23 23:09:56,56.0815,99.6342,14.07,97,95,2.39
60,Hofn,IS,2021-11-23 23:04:43,64.2539,-15.2082,34.77,62,99,12.82
61,Baykit,RU,2021-11-23 23:03:56,61.67,96.37,20.37,96,100,4.63
62,Jamestown,US,2021-11-23 23:03:32,42.097,-79.2353,35.19,83,90,11.01
63,Nikolskoye,RU,2021-11-23 23:06:54,59.7035,30.7861,32.88,84,89,8.08
64,Cayenne,GF,2021-11-23 23:05:27,4.9333,-52.3333,82.44,82,98,1.99
65,Kavieng,PG,2021-11-23 23:01:28,-2.5744,150.7967,84.02,75,100,15.93
