City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
109,Rawson,AR,-43.3002,-65.1023,56.26,81,0,5.37,clear sky
110,Hobart,AU,-42.8794,147.3294,66.06,55,20,18.41,few clouds
111,Goderich,CA,43.7501,-81.7165,26.92,93,100,5.75,light snow
112,Lorengau,PG,-2.0226,147.2712,86.23,65,100,7.36,overcast clouds
113,Samarai,PG,-10.6167,150.6667,83.8,73,100,8.72,overcast clouds
114,Touros,BR,-5.1989,-35.4608,79.7,73,96,11.88,overcast clouds
115,Carnarvon,AU,-24.8667,113.6333,89.67,45,0,12.66,clear sky
116,Labuan,MY,5.2767,115.2417,88.16,74,20,3.44,few clouds
117,Cahors,FR,44.4167,1.3333,35.1,90,93,12.86,overcast clouds
118,Pacific Grove,US,36.6177,-121.9166,57.4,61,11,5.19,few clouds
119,Constantine,DZ,36.365,6.6147,47.61,66,40,13.8,scattered clouds
120,Lompoc,US,34.6391,-120.4579,53.74,53,1,3.44,clear sky
121,Sokolo,ML,14.7328,-6.1219,79.38,19,100,9.08,overcast clouds
122,Port Elizabeth,ZA,-33.918,25.5701,61.09,77,0,5.75,clear sky
123,Broome,US,42.2506,-75.833,27.37,79,98,3.2,overcast clouds
124,Ahipara,NZ,-35.1667,173.1667,68.58,62,88,5.06,overcast clouds
125,Kahului,US,20.8947,-156.47,74.46,73,34,8.52,scattered clouds
126,Pochutla,MX,15.7432,-96.4661,73.17,74,28,3.67,scattered clouds
127,Jamestown,US,42.097,-79.2353,28.04,93,90,4.61,light snow
128,Faanui,PF,-16.4833,-151.75,81.03,75,46,13.76,scattered clouds
129,Hasaki,JP,35.7333,140.8333,57.49,45,1,13.91,clear sky
130,Shambu,ET,9.5667,37.1,51.46,73,57,4.25,broken clouds
131,Natal,BR,-5.795,-35.2094,80.82,83,20,5.75,few clouds
132,Torbay,CA,47.6666,-52.7314,50.77,93,90,10.36,overcast clouds
133,Port Alfred,ZA,-33.5906,26.891,67.28,67,63,8.97,broken clouds
134,Letnyaya Stavka,RU,45.4306,43.4472,44.17,72,98,10.94,overcast clouds
135,Varhaug,NO,58.6147,5.6457,26.15,67,29,4.68,scattered clouds
136,Geraldton,AU,-28.7667,114.6,93.61,24,0,12.66,clear sky
137,Vila Velha,BR,-20.3297,-40.2925,71.15,83,61,12.03,broken clouds
138,Cape Town,ZA,-33.9258,18.4232,63.01,100,75,12.66,light rain
139,Ribeira Brava,PT,32.65,-17.0667,63.23,78,30,5.39,scattered clouds
140,Cape Canaveral,US,28.4058,-80.6048,60.4,67,68,4.65,broken clouds
141,Dalhousie,IN,32.5333,75.9833,51.01,25,2,1.83,clear sky
142,Junin,AR,-34.5838,-60.9433,60.15,80,100,12.71,overcast clouds
143,Sayansk,RU,54.1088,102.1648,8.35,79,98,8.23,overcast clouds
144,Allanridge,ZA,-27.7543,26.6438,58.89,84,11,8.55,few clouds
145,Jalu,LY,29.0331,21.5482,70.27,37,46,6.06,scattered clouds
146,Bandarbeyla,SO,9.4942,50.8122,79.09,78,88,15.21,overcast clouds
147,Eureka,US,40.8021,-124.1637,52.41,94,67,2.71,broken clouds
148,Arraial Do Cabo,BR,-22.9661,-42.0278,72.88,88,29,4.18,scattered clouds
149,Luganville,VU,-15.5333,167.1667,84.51,72,25,7.23,scattered clouds
150,Yellowknife,CA,62.456,-114.3525,-10.01,97,18,4.94,few clouds
151,Kaitangata,NZ,-46.2817,169.8464,61.21,60,0,7.72,clear sky
152,Yeniseysk,RU,58.4497,92.1703,21.25,94,100,6.87,light snow
153,Bardsir,IR,29.9227,56.5743,48.92,48,0,1.74,clear sky
154,Vaini,TO,-21.2,-175.2,79.34,78,96,20.49,light rain
155,Barcelos,PT,41.5388,-8.6151,37.54,86,8,5.06,clear sky
156,Kalaleh,IR,37.3807,55.4916,57.2,45,1,5.21,clear sky
157,Erzin,TR,36.9559,36.2,55.92,61,100,4.23,overcast clouds
158,Avera,US,33.194,-82.5271,44.11,43,99,6.62,overcast clouds
159,Seymchan,RU,62.8833,152.4333,-38.07,100,75,1.05,broken clouds
160,Beringovskiy,RU,63.05,179.3167,1.51,98,97,6.11,overcast clouds
161,Khandyga,RU,62.6667,135.6,-4.22,95,100,3.09,overcast clouds
162,Coxim,BR,-18.5067,-54.76,79.99,72,66,3.91,broken clouds
163,Khatanga,RU,71.9667,102.5,-8.73,95,100,12.59,overcast clouds
164,Olga,RU,43.7444,135.2892,40.32,30,2,3.36,clear sky
165,Katsuura,JP,35.1333,140.3,57.31,40,0,11.54,clear sky
166,Paragominas,BR,-2.9667,-47.4833,72.93,94,95,2.57,overcast clouds
167,Kruisfontein,ZA,-34.0033,24.7314,62.42,66,30,7.74,scattered clouds
168,Walvis Bay,NA,-22.9575,14.5053,50.95,93,1,6.91,clear sky
169,Hualmay,PE,-11.0964,-77.6139,65.32,88,100,8.66,overcast clouds
170,Hofn,IS,64.2539,-15.2082,31.98,58,100,13.6,overcast clouds
171,Boende,CD,-0.2167,20.8667,71.49,89,92,2.08,light rain
172,Narsaq,GL,60.9167,-46.05,37.62,100,100,1.1,moderate rain
173,Baiao,BR,-2.7906,-49.6717,73.53,95,10,1.41,clear sky
174,Kodiak,US,57.79,-152.4072,17.11,67,75,9.22,broken clouds
175,Naples,IT,40.8333,14.25,59.52,68,84,23.91,broken clouds
176,Ahuimanu,US,21.4447,-157.8378,80.31,71,22,4.23,few clouds
177,General Roca,AR,-39.0333,-67.5833,63.48,59,33,7.99,scattered clouds
178,Inuvik,CA,68.3499,-133.7218,-9.15,95,100,16.69,overcast clouds
179,Victoria,HK,22.2855,114.1577,75.16,47,70,5.82,broken clouds
180,Prestea,GH,5.4327,-2.1428,73.22,97,73,1.81,broken clouds
181,Leningradskiy,RU,69.3833,178.4167,-20.54,91,19,9.57,few clouds
182,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,72,40,12.66,scattered clouds
183,Souillac,MU,-20.5167,57.5167,79.79,62,0,5.66,clear sky
184,Kieta,PG,-6.2167,155.6333,82.98,74,100,5.32,light rain
185,Altamont,US,42.2068,-121.7372,37.24,93,1,0.0,clear sky
186,Santa Cruz,BO,-17.8,-63.1667,77.09,76,38,16.49,scattered clouds
187,Coquimbo,CL,-29.9533,-71.3436,60.4,76,0,7.83,clear sky
188,Dunedin,NZ,-45.8742,170.5036,60.28,69,1,13.6,clear sky
189,Batetskiy,RU,58.6461,30.3027,25.77,95,100,7.63,light snow
190,Gat,IL,31.61,34.7642,54.28,37,14,3.62,few clouds
191,Yamada,JP,39.4667,141.95,48.63,45,40,11.07,scattered clouds
192,Volchansk,RU,59.9378,60.081,19.04,97,100,4.18,overcast clouds
193,Chokurdakh,RU,70.6333,147.9167,-31.14,99,100,1.34,overcast clouds
194,Andrews,US,32.3187,-102.5457,52.45,76,90,3.44,overcast clouds
195,Grand Gaube,MU,-20.0064,57.6608,77.83,69,0,12.03,clear sky
196,Itapaci,BR,-14.9508,-49.5494,70.32,93,98,2.33,overcast clouds
197,Severo-Kurilsk,RU,50.6789,156.125,30.09,68,88,28.34,overcast clouds
198,Kiama,AU,-34.6833,150.8667,62.76,68,83,12.03,broken clouds
199,Tiksi,RU,71.6872,128.8694,-8.55,97,100,6.33,overcast clouds
200,Aripuana,BR,-9.1667,-60.6333,72.14,99,80,2.04,moderate rain
201,Rebrikha,RU,53.0733,82.3408,20.16,84,100,17.56,overcast clouds
